AC11641 	 n1(cc(c2c1ccc(c2)OC)CCN(C)C)[H]
AC12308 	 C/1=2\N(c3c(S1)ccc(c3)N)CC/N2
AC12586 	 c1(c2c(n(c1)[H])ccc(c2)OC)CN(C)C
AC12605 	 N1(c2cc(OC)ccc2)CCNCC1
AC13425 	 N1(Cc2ccccc2)CC(O)CCC1
AC13432 	 c1(N2CCNCC2)ncccn1
AC17979 	 n1(cncc1)c1ccc(cc1)O
AC18635 	 n1(ncnc1)c1ccc(cc1)O
AC30928 	 c1(cn(c2c1cccc2)[H])C(=O)OC
AVX101118 	 C[N@H+](CC1=CC=CC=C1C(=O)NCC2CCCCC2)CC3=CC=C4C(=C3C(=O)[O-])OCCO4
AVX101119 	 C[N@@H+](CC1=CC=CC(=C1C(=O)[O-])OC)CC2=CC3=C(C=C2C(=O)NCC4=CC=C(C=C4)OC)OCO3
AVX101120 	 C[N@H+](CC1=C(C(=CC=C1)OC)C(=O)[O-])CC2=C(C=C(C=C2)C3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)OC
AVX101121 	 C[N@@H+](CC1=CC=CC(=C1C(=O)[O-])OC)CC2=CC3=CC=CC=C3C=C2C(=O)NCC4=CC=C(C=C4)OC
AVX101122 	 C[N@H+](CC1=CC=CC=C1C(=O)NCC2=CC=C(C=C2)OC)CC3=CC=CC(=C3C(=O)[O-])OC
AVX101123 	 C1OC2=C(O1)C(=C(C=C2)C[C@@H](CNC(=O)CCCC[NH3+])C3=CC=CC=C3)C(=O)[O-]
AVX101124 	 C1[C@@H](/C(=C/C2=C(C3=C(C=C2)OCO3)C(=O)[O-])/C4=C1C=CC=C4)NC(=O)CCCCC[NH3+]
AVX101133 	 C1COC2=C(O1)C=CC(=C2C(=O)[O-])/C=C\3/[C@H](CC4=CC=CC=C43)NC(=O)CCCCC[NH3+]
AVX101139 	 COC1=CC=C(C(=C1OCC(=O)[O-])C(=O)[O-])C[N@H+](C[C@H]2CCOC2)CC3=CC=CC=C3
AVX101140 	 C1COC2=C(O1)C=CC(=C2C(=O)[O-])CN3C4=CC=C(C=C4C(=O)C3=O)Br
AVX101178 	 C1COC2=C(C(=CC=C2O1)CN3C4=CC=C(C=C4C(=O)C3=O)/C=C/C(=O)[O-])C(=O)[O-]
AVX15988 	 Cc1c(ccc2c1nc(s2)N)Cl
AVX16688 	 C1=CC=C2C(=C1)/C(=C/C3=CC=CO3)/C(=O)N2
AVX16756 	 C1COC2=C(C=C(C(=C2)C(=O)[O-])NC(=O)C3=CC=C(S3)Cl)OC1
AVX16757 	 C1CCN(CC1)S(=O)(=O)C2=CC=CC(=C2)C(=O)CC3=CC4=C(C=C3C(=O)[O-])OCCCO4
AVX16981 	 C1=CC=C2C(=C1)C(=CN2)CC3=CC(=CC=C3)C(=O)[O-]
AVX16984 	 C1=CC=C2C(=C1)C(=O)C(=O)N2CC3=C(C=CC=C3)C(=O)[O-]
AVX17228 	 C[NH+]1CCN(CC1)C2=[NH+]C=C(C=C2)[N+](=O)[O-]
AVX17231 	 C1COCCN1C2=[NH+]C=C(C=C2)N(=O)=O
AVX17233 	 CC1=CC=C(C=C1)C2=CC=C(C=N2)[N+](=O)[O-]
AVX17257 	 c1ccc2c(c1)CC(=O)N2Cc3ccccc3C(=O)[O-]
AVX17258 	 C1C2=CC=CC=C2N(C1=O)CC3=CC=CC(=C3)C(=O)[O-]
AVX17259 	 C1=CC=C2C(=C1)[C@H](C(=O)N2)CC3=CC=CC(=C3)C(=O)[O-]
AVX17260 	 c1ccc2c(c1)[C@@H](C(=O)N2)Cc3ccc4c(c3C(=O)[O-])OCO4
AVX17261 	 C[C@@H]1C(=O)NCC2=CC=CC=C2[NH2+]1
AVX17264 	 CCC[C@H]1CNCC2=CC=CC=C2[NH2+]1
AVX17266 	 C1=CC2=C(C=C1)N3C(=CC(=N3)CC[NH3+])NC2=O
AVX17267 	 CCOC(=O)C1=C(C=CC=C1)C[C@@H]2C3=CC=CC=C3NC2=O
AVX17268 	 C1OC2=C(O1)C(=C(C=C2)CC3=CNC4=CC=CC=C43)C(=O)CCO
AVX17269 	 C1OC2=C(O1)C=C3C(=C2)C(=O)[C@H](O3)CCC(=O)[O-]
AVX17280 	 COC(=O)CC[C@@H]1C(=O)C2=CC3=C(C=C2O1)OCO3
AVX17284 	 C1=CC=C2C(=C1)/C(=C/C3=C(C=CC=C3)C(=O)[O-])/C(=O)N2
AVX17285 	 c1ccc2c(c1)/C(=C/c3cccc(c3)C(=O)[O-])/C(=O)N2
AVX17286 	 c1ccc2c(c1)/C(=C\c3ccc4c(c3C(=O)[O-])OCO4)/C(=O)N2
AVX17287 	 c1ccc2c(c1)c(c[nH]2)Cc3ccc4c(c3C(=O)[O-])OCO4
AVX17288 	 CC1=CC(=NN1C2=C(C=CC=C2)C(=O)[O-])CO[C@H]3CCCCO3
AVX17369 	 C1[C@@H]([C@@H](C2=CC=CC=C21)CC3=CC(=CC=C3)C(=O)[O-])O
AVX17370 	 CCOC(=O)C1=C(NC2=CC=CC=C21)CCC3=CC=CC=C3
AVX17375 	 c1ccc2c(c1)C[C@@H]([C@H]2Cc3ccc4c(c3C(=O)[O-])OCO4)O
AVX17377 	 c1ccc2c(c1)CC(=O)N2Cc3ccc4c(c3C(=O)[O-])OCO4
AVX17378 	 CC1=CC(=NN1C2=CC=CC=C2C(=O)N)CO
AVX17379 	 Cc1cc(nn1c2ccccc2C[NH3+])CO
AVX17384 	 CC1=CN(N=C1CO[C@H]2CCCCO2)C3=CC=CC=C3C(=O)N
AVX17385 	 C1=CC=C(C=C1)CC2=C(C3=CC=CC=C3N2)C(=O)[O-]
AVX17386 	 C1COCCN1C(=O)C2=C(C3=CC=CC=C3N2)C(=O)[O-]
AVX17387 	 C1=CC=C(C=C1)/C=C/C2=C3C(=CC=C2)C(=CN3)C(=O)[O-]
AVX17389 	 c1cc(c2c(c1)OCO2)C(=O)NCC(=O)[O-]
AVX17476 	 C1=CC=C(C=C1)CCC2=C3C(=CC=C2)C(=CN3)C(=O)[O-]
AVX17478 	 C[NH+]1CCN(CC1)C(=O)C2=C(C3=CC=CC=C3N2)C(=O)[O-]
AVX17479 	 C1=CC(=CC=C1CC2=C[NH+]=C(S2)N)F
AVX17482 	 C1[C@@H]([C@@H](C2=CC=CC=C21)CC3=NC(=CS3)C(=O)[O-])O
AVX17542 	 CC(C)C[C@@H](CC1=C(C2=C(C=C1)OCO2)C(=O)[O-])CNC(=O)CCCC[NH3+]
AVX17544 	 CC(C)C[C@@H]1CC2=C(C3=C(C=C2)OCO3)C(=O)NC1
AVX17552 	 C1C2=CC=C3C(=C2C(=O)N1C(=O)NC(C4=CC=CC=C4)C5=CC=CC=C5)OCO3
AVX17556 	 C1[C@@H]([C@@H](C2=C1C=CC=C2)CC3=C(C4=C(C=C3)OCO4)C(=O)[O-])NC(=O)CCCC[NH3+]
AVX17557 	 C1[C@H]([C@H](C2=C1C=CC=C2)CC3=C(C4=C(C=C3)OCO4)C(=O)[O-])NC(=O)CCCCC[NH3+]
AVX17558 	 C1[C@H]([C@H](C2=C1C=CC=C2)CC3=C(C4=C(C=C3)OCO4)C(=O)[O-])NC(=O)CCC[NH3+]
AVX17560 	 CC(C)C[C@@H](CC1=C(C2=C(C=C1)OCO2)C(=O)[O-])CNC(=O)CCC[NH3+]
AVX17627 	 C1OC2=CC=C(C(=C2O1)C(=O)[O-])CNC(=O)NC(C3=CC=CC=C3)C4=CC=CC=C4
AVX17628 	 C1OC2=CC=C(C(=C2O1)C(=O)[O-])CNC(=O)N[C@@H](C3=CC=CC=C3)C(=O)NCC4=CC=CC=C4
AVX17629 	 CCOC(=O)C1=C2C(=CC=C1CNC(=O)N[C@@H](C3=CC=CC=C3)C(=O)NCC4=CC=CC=C4)OCO2
AVX17631 	 c1ccc2c(c1)c(no2)N
AVX17679 	 C1=CC=C2C(=C1)C(=NO2)CC(=O)[O-]
AVX17680 	 CCC[C@@H](CC1=C(C2=C(C=C1)OCO2)C(=O)[O-])CNC(=O)CCCCC[NH3+]
AVX17684 	 C1C2=CC=CC=C2C(=O)N(C[N@@H+]1CC3=CC=C4C(=C3C(=O)[O-])OCO4)CC5=CC=CC=C5
AVX17685 	 CN1C[N@@H+](CC2=CC=CC=C2C1=O)CC3=CC=C4C(=C3C(=O)[O-])OCO4
AVX17687 	 COC1=CC=C(C=C1)CN2C[N@@H+](CC3=CC=CC=C3C2=O)CC4=CC=C5C(=C4C(=O)[O-])OCO5
AVX17715 	 COC1=CC=C(C=C1)CNC(=O)C2=CC=CC=C2C[NH2+]CC3=CC=C4C(=C3C(=O)[O-])OCO4
AVX17734 	 C1[C@@H](OC2=C(O1)C(=C(C=C2)CNC(=O)N[C@@H](C3=CC=CC=C3)C(=O)NCC4=CC=CC=C4)C(=O)[O-])CCC(=O)[O-]
AVX38669 	 CN(CC1=C(C2=C(C=C1)OCO2)C(=O)[O-])C(=O)N[C@@H](C3=CC=CC=C3)C(=O)N
AVX38670 	 CN(CC1=C(C2=C(C=C1)OCO2)C(=O)[O-])C(=O)N[C@H](C3=CC=CC=C3)C(=O)NCC4=CC=C(C=C4)OC
AVX38671 	 CNC(=O)[C@@H](C1=CC=CC=C1)NC(=O)N(C)CC2=C(C3=C(C=C2)OCO3)C(=O)[O-]
AVX38672 	 CC(C)(C)NC(=O)[C@@H](c1ccccc1)NC(=O)N(C)Cc2ccc3c(c2C(=O)[O-])OCO3
AVX38673 	 CCCCNC(=O)[C@H](c1ccccc1)NC(=O)N(C)Cc2ccc3c(c2C(=O)[O-])OCO3
AVX38674 	 CN(Cc1ccc2c(c1C(=O)[O-])OCO2)C(=O)N[C@@H](c3ccccc3)C(=O)NCc4ccccc4
AVX38705 	 CNC(=O)C1=C(C=CC=C1)C[N@H+](C)CC2=C(C3=C(C=C2)OCO3)C(=O)[O-]
AVX38708 	 C[N@H+](Cc1ccccc1C(=O)NCc2ccccc2)Cc3ccc4c(c3C(=O)[O-])OCO4
AVX38709 	 CC1=C(C=CC2=C1ON=C2C)C(=O)NC(C3=CC=CC=C3)C4=CC=CC=C4
AVX38710 	 CC1=C(C=CC2=C1ON=C2C)C(=O)NC3CCCCC3
