#Name               #MW         #pKa        #Solubility (ug/ml)
acetaminophen;       151.17;      9.52;        13000
acetazolamide;       222.25;      8.75;        816
alprenolol;            249.36;      9.47;        580
amantadine;          151.25;      10.48;       2120
2-amino-3-bromobenzoic acid; 216.04;    4.215;  182
amiodarone;         645.32;     8.73;           0.0043
amitriptyline;      277.41;       9.46;         7.8
amodiaquine;        355.87;         7.4;        0.57; CCN(CC)Cc1cc(ccc1O)Nc2ccnc3c2ccc(c3)Cl;
aspirin;            180.16;       3.50;         n/a
atropine;           289.38;       9.790;        2880
azathioprine;       277.27;       7.834;        172; Cn1cnc(c1Sc2c3c(nc[nH]3)ncn2)N(=O)=O
1-benzylimidazole;    158.20;       6.70;         874
5-bromo-2,4-dihydroxy-benzoic acid;  233.02; 7.138;  559;   OC(=O)c1cc(Br)c(O)cc1O;
bromogramine;   253.14;           9.469;        22.3;  CN(C)CC1=CNC2=C1C=C(Br)C=C2
bupivacaine;        288.44;       7.952;        172
carprofen;          273.72;     4.247;          5.5; CC(c1ccc2c3cc(ccc3[nH]c2c1)Cl)C(=O)O
carvedilol;         406.49;     7.97;           22.6; COc1ccccc1OCCNCC(COc2cccc3c2c4ccccc4[nH]3)O
cephalothin;        396.44;     1.963;          457;   CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)Cc3cccs3)SC1)C(=O)O
chlorpheniramine;       274.80; 3.819;          590;
chlorpromazine;     318.87;     9.24;           2.70
chlorpropamide;     276.74;     4.669;          156
chlorprothixene;    315.87;     9.520;          0.056;
#Skipped chlorprothixene form 2 here
cimetidine;         252.34;     6.998;          5130;
ciprofloxacin;      331.35;     8.579;          84; c1c2c(cc(c1F)N3CCNCC3)n(cc(c2=O)C(=O)O)C4CC4
danofloxacin;       357.38;     8.727;          450.4; CN1CC2CC1CN2c3cc4c(cc3F)c(=O)c(cn4C5CC5)C(=O)O
deprenyl;           187.29;     7.48;           575; C[C@H](CC1=CC=CC=C1)N(C)CC#C
desipramine;        266.39;     10.26;          63;
diazoxide;          230.67;     8.629;          100;
diclofenac;         296.16;     4.081;          1.036;
difloxacin;         399.40;     7.287;          100; CN1CCN(CC1)c2cc3c(cc2F)c(=O)c(cn3c4ccc(cc4)F)C(=O)O
diltiazem;          414.53;     8.02;           287;
diphenhydramine;    255.26;     9.08;           289;
5,5-diphenylhydantoin;  252.268;    8.215;      35;
enrofloxacin;       359.40;     7.794;          237;
famotidine;         337.45;       1.80;           760;
fenoprofen;         242.28;     3.79;           48
