F1,BrC1=CC(C#N)=C(OC)C=C1
F2,BrC1=CC(CO)=NC=C1
F3,BrC1=CC(COC)=NC=C1
F4,BrC1=CC(O)=C(C(O)=O)C=C1
F5,BrC1=CC(OC)=C(CC(O)=O)C=C1
F6,BrC1=CC(OC)=C(CO)C=C1
F7,BrC1=CC(OC)=NC=C1
F8,BrC1=CC=C(NC(C)=O)C=C1
F9,BrC1=CC=C(S(C)(=O)=O)C=C1
F10,BrC1=CC=C(S(N)(=O)=O)C=C1
F11,BrC1=CC=NC2=NC=CC=C21
F12,BrC1=CN(CC(O)=O)N=C1
F13,BrC1=CN(CCO)N=C1
F14,BrC1=CN(CCOC)N=C1
F15,BrC1=CN=CN=C1
F16,BrC1=CNN=C1
F17,BrC1=CON=C1
F18,BrC=1C=CC=NC1NC2CCCNC2=O
F19,C(C1CCNCC1)C2=NC(=NO2)C3CC3
F20,C(C1CCOCC1)N2CCNCC2
F21,C(CN1CCOCC1)SC=2C=CC=CC2
F22,C(N1CCC(CC1)N2C=CC=C2)C=3C=CC=CC3
F23,C(N1CCNCC1)C2=CSC=N2
F24,C(N1CCNCC1)C=2C=CON2
F25,C(N1CCOCC1)C2=NC(=NO2)C3CC3
F26,C(NC1CC1)C2CCOC2
F27,C(NC1CCCC1)C2CCCO2
F28,C(NC1CCNC1)C=2C=CC=CC2
F29,C(NC=1C=CC=CN1)C2CCNC2
F30,C(NC=1C=CN=CC1)C2CCCO2
F31,C(NCC=1C=CN=CC1)C2=CC=CS2
F32,C1=CSC(=N1)C2=NN=CN2
F33,C1=NN=NN1C=2C=CC(=CC2)C=3C=CC=CC3
F34,C1CC1C2=NOC(=N2)C3CCNC3
F35,C1CC2(CCN(C2)C=3C=NC=CN3)CO1
F36,C1CCC(CC1)C2=NC(=NO2)C=3C=CN=CC3
F37,C1CCCC(CC1)NC=2N=CC=CN2
F38,C1CCN(CC1)C2=NOC(=N2)C3=CC=CS3
F39,C1CN(CCO1)C2=NC=3C=CC=CC3S2
F40,C1OC=2C=CC(=CC2O1)C=3C=CNN3
F41,CC#CCN(C)C1CCS(=O)(=O)CC1
F42,CC(=O)C=1C=CC(NC(=O)CN2CCCC2)=CC1
