#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
500,3693.5624588431792,297.46434995028415,0.7607968749944235
1000,3826.7176004350804,295.97668476479726,0.7631992460399429
1500,3870.2452144639096,286.8839432798901,0.7614475132697022
2000,3716.892404934194,294.683758733975,0.7508051352120052
2500,3796.590214506695,286.2525601863535,0.7624601277250754
3000,3691.8292829016364,303.4354838147957,0.7570543935495712
3500,3814.739480950672,306.9011881051002,0.7464706294078783
4000,3974.1715489097633,291.8502834131451,0.758863367792863
4500,3917.549771578946,301.8084828283167,0.760933341248147
5000,3948.2339724156964,311.8658872376608,0.7525065326197189
5500,3896.1429508568935,313.09642660473287,0.7439238648490752
6000,4036.3569549642234,302.7526876651408,0.7345023313539084
6500,4058.0326259756303,300.41247999045015,0.728900233413857
7000,4093.751880643865,294.4835623329276,0.7293426034734817
7500,4060.9817295396133,293.3601043259827,0.7456671691948421
8000,3982.154998697669,297.60105966730964,0.7470307485695731
8500,3865.7292837272666,297.69913113435985,0.7511974672508829
9000,3913.2384686328837,302.14113524992916,0.7546226180899762
9500,3914.0978240674103,304.438359498176,0.7621501425570414
10000,3914.5295476688416,302.41167095046393,0.7408084711610076
10500,4071.477451292719,305.97616270386305,0.7439284822163472
11000,3889.499437504016,299.4805817819245,0.7430796773612764
11500,3906.7054836346447,297.62266419587365,0.7687229645228553
12000,3610.5430013578016,292.4847419516076,0.7525129786975605
12500,3777.028004044003,304.53473965094065,0.7612605770287358
13000,3723.0460790970246,293.4063840583854,0.7578607974137943
13500,3921.537388441784,295.29856801452047,0.7597133224413106
14000,3785.0365930701046,293.61909242133737,0.7629791377339683
14500,4012.1486524376423,302.3792279869706,0.7665883381500985
15000,3935.4447589888023,304.7260446971892,0.7416190259933756
15500,3995.4960274904456,291.41820674866995,0.7440821628395555
16000,3839.39259793883,302.486259306293,0.7429224877557649
16500,3918.320976225267,294.2925571715224,0.7501090034637129
17000,3963.0660156697713,298.6609047279931,0.73939070017884
17500,3995.6898914305093,300.7368427774605,0.7343896016029922
18000,4000.566373584943,295.5058096729844,0.7285015586145824
18500,3919.4577336629,308.6728445316899,0.7352390831880423
19000,3840.495543339878,298.9857417394141,0.7415499855353871
19500,4026.8976701008023,299.1787716376749,0.7431226953480758
20000,3692.043547670886,293.58476458534744,0.7506819152706274
20500,3804.495687075211,304.64910654717175,0.7517801567001982
21000,3904.54769170928,293.52466526369136,0.7314640030222935
21500,3841.2519228722995,298.0284452315364,0.7410462742838181
22000,3642.1471133692667,302.8445600996183,0.7426663726969518
22500,3903.7853931345294,296.4832731138281,0.7483469595785653
23000,3957.075832901307,293.00955632976746,0.7412669087026658
23500,3790.989198229524,301.2936293881453,0.757263828002784
24000,3983.6866427886,300.4869328344597,0.7632673371858543
24500,3744.469815543148,312.9381798318631,0.7709047176104633
25000,3953.2462882829996,298.73160283719557,0.757267718138589
25500,4019.0605112042567,299.17598383241585,0.7431517217610762
26000,3844.107978011526,301.7339508290531,0.7609157592222198
26500,3736.269024743563,306.41721335520197,0.764521310243237
27000,4089.9636215684804,295.08886002049417,0.7558445939941647
27500,3779.1650758239766,305.12580688365836,0.7732613354407504
28000,4050.281953978438,301.49800722915916,0.7512039487837768
28500,3816.145581835418,298.9481946571287,0.7498159497356064
29000,3831.2555508288383,296.14308795374154,0.7624058308678666
29500,3880.6162601885153,296.6172112333497,0.7469292995775726
30000,4009.3044863634204,300.3865051533561,0.7573741040629478
30500,3818.7949416217834,294.5043868277771,0.7528973943626461
31000,3828.366258312833,308.19479113090443,0.7593532256599124
31500,3776.6826236725065,305.539858615042,0.7696310562832047
32000,3703.104691387108,298.223681991423,0.7766574276006343
32500,3760.784683651445,281.3216974115933,0.7716972349276784
33000,3584.98200141516,295.2163389421598,0.7537977740686822
33500,3816.2727902145325,295.16132661934705,0.7570413672179482
34000,3937.7559877125045,288.2087717702125,0.7553790054909837
34500,3731.1546244122605,310.4467448780548,0.7717025084210418
35000,3621.5969558878996,300.3745761770313,0.7712445619086656
35500,3930.119403090507,304.53224883008994,0.7772282947746233
36000,3720.160873382839,306.48075071954554,0.7735399779704797
36500,3801.2904706380486,311.2236514117107,0.7841982624396802
37000,3747.642277094722,306.31978866755577,0.7633785091351926
37500,3765.3206425659905,305.0788802550181,0.7548574908709482
38000,3785.8829212596925,313.92631027716027,0.7517235899602133
38500,3646.1144005548113,311.0065355301566,0.7732798214168013
39000,3674.789454418282,292.1202790671836,0.7594886107374709
39500,3920.8151653145324,295.08909990173913,0.7512729528951331
40000,3708.0123652914467,284.9079825821727,0.758198177480051
40500,3725.222859784106,302.65426333319306,0.7539777586256986
41000,3845.6825899709074,291.44536113592216,0.761281612536968
41500,3777.76839756585,286.58335528105334,0.7599045577977168
42000,3753.4218727571506,293.2200961988243,0.7560603167443336
42500,3872.3192802453223,299.8999293455065,0.7620567282139049
43000,3743.916926234762,307.86638169488765,0.7500862459619643
43500,3850.1746743798158,309.0315392800032,0.758625838628004
44000,3797.9834691103215,301.7982440733424,0.7496433842645074
44500,3891.2054822723103,308.81432935098684,0.755469114040876
45000,3803.754287599072,311.1054133819375,0.7548479128463603
45500,3885.9048309064665,303.19767936181995,0.7737555021418914
46000,3484.945545600085,301.4989441180263,0.7678527929343216
46500,3737.407186287045,305.0368870916205,0.7680372296643667
47000,3556.684179617342,287.10464031081847,0.7889765595302373
47500,3764.72713059021,296.7838298105803,0.7813754179283926
48000,3602.6652139829826,300.6024287053502,0.7777463047671035
