#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
100,-6211.246260770829,242.4319355625811,0.9499992666443671
200,-5982.426319578768,256.42834878302017,0.9499992666443671
300,-5564.037624840994,269.76029729486174,0.9499992666443671
400,-5393.620229873133,272.76396423039375,0.9499992666443671
500,-5180.787132558629,275.7156386385794,0.9499992666443671
600,-5287.341887690576,284.20718300694165,0.9499992666443671
700,-5155.353576854734,292.3406206511491,0.9499992666443671
800,-5007.590325564045,296.3297292474922,0.9499992666443671
900,-4983.273160978271,294.7083795711863,0.9499992666443671
1000,-5044.181801551117,298.3386965825278,0.9499992666443671
1100,-5132.509297273279,299.9746788845004,0.9499992666443671
1200,-4902.074345356627,297.1643107667472,0.9499992666443671
1300,-4762.208650176106,298.834164056273,0.9499992666443671
1400,-4853.804027485918,302.41588940228553,0.9499992666443671
1500,-4913.227617012568,296.4778677607994,0.9499992666443671
1600,-5047.700982738428,306.26640110870727,0.9499992666443671
1700,-5007.082704494303,302.1893513139992,0.9499992666443671
1800,-4994.941829503838,303.5918582592646,0.9499992666443671
1900,-5033.278516132501,304.9900298550264,0.9499992666443671
2000,-4810.020591640746,300.06467923787733,0.9499992666443671
2100,-5004.2106558360465,301.6980047665118,0.9499992666443671
2200,-4845.809310529353,299.528307842124,0.9499992666443671
2300,-5023.607112394928,301.98365414120764,0.9499992666443671
2400,-5005.66474303794,292.5403946929348,0.9499992666443671
2500,-5000.0031223010465,289.20940760672784,0.9499992666443671
2600,-5003.702276605004,294.27058642082227,0.9499992666443671
2700,-5178.084646279831,297.3031959563005,0.9499992666443671
2800,-5282.775446896285,301.05947216064385,0.9499992666443671
2900,-5048.055312916609,296.72200859619227,0.9499992666443671
3000,-4954.670546236883,292.8427886165644,0.9499992666443671
3100,-5169.7015671672425,293.92803338254413,0.9499992666443671
3200,-5198.490844607695,292.834371068417,0.9499992666443671
3300,-5092.06670138118,292.8877366763158,0.9499992666443671
3400,-5133.000440200427,298.73080527283435,0.9499992666443671
3500,-5116.845782917562,300.30879882726134,0.9499992666443671
