#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
100,692.1122159716197,167.16672211644013,0.9122744944564964
200,989.7840644842443,192.3518412933725,0.909328557487962
300,1617.0716642395107,201.19902699718546,0.904036510546628
400,1824.075263367413,224.38302976128222,0.8864584818981268
500,2124.9075061447547,231.23096591256925,0.8715362499367274
600,2261.450364632481,247.85212811751154,0.8655918827469989
700,2587.8405916574366,254.96524562933814,0.8598938604596374
800,2695.0456888576073,267.6045873967069,0.8539554995506913
900,2855.18303881585,269.2763251967202,0.8498555819943279
1000,2947.464972572036,271.5239493665901,0.8370221237750063
1100,3085.8044216249104,274.0946480358847,0.8296099446076931
1200,3015.2741696268913,283.8382196402822,0.8274054290682952
1300,3040.383017503631,291.98730345757286,0.82213963718801
1400,3351.006908662042,285.3775855086971,0.8028486879189752
1500,3516.6250539902253,291.64701424779497,0.79421442191939
1600,3650.5031701418548,294.6659528505207,0.7814066870979567
1700,3523.418707792127,302.1052569530197,0.7791626834285639
1800,3612.928184794473,299.0827125845162,0.778977439599425
1900,3673.707219607655,301.16406844374677,0.7721929886584854
2000,3708.3183633167996,300.8166306016129,0.7808101245870664
2100,3650.8301146192916,302.83126999289067,0.7795996791896
2200,3680.8014295994276,309.8397004908198,0.7779371722755755
2300,3881.3872194203404,300.0392421676651,0.7702600645472609
2400,3810.688907170878,304.0288552815869,0.771273398342429
2500,3655.9169708266118,310.4486455247707,0.7766365570882622
2600,3826.486998666841,304.1282302788586,0.7747185111544809
2700,3830.308870021036,297.9697619477513,0.7795717665306378
2800,3752.230880866899,298.71175808397425,0.7724557467489318
2900,3662.000983583477,293.3715047382638,0.7655233130049112
3000,3707.09191851405,295.2256746671888,0.7635582027827821
3100,3758.698269716912,290.0570919403444,0.7611318038677862
3200,3676.778172639844,296.24459975113416,0.7528981390605086
3300,3951.094327558937,291.6057608412698,0.7532283353731959
3400,3803.3359486850654,307.68506682258584,0.7596238901723469
3500,3944.031984476038,295.05490989350665,0.7568574789560689
3600,3959.3777995778155,298.35104889867046,0.7548759355438958
3700,3858.803791238566,300.23396893096515,0.7558650900010212
3800,3699.980993604092,305.97896893448814,0.7571885745262924
3900,3889.8568246336717,296.11455561452874,0.75238752756212
4000,3987.040589918377,296.3130968746896,0.7595326764414451
4100,3932.2285593698202,298.40914856086556,0.7452896164559701
4200,3866.6979678053385,296.9196372497496,0.7485124849772473
